playername,cs_total,cspm,minionkills,monsterkills,games_played
Conformista,2672.0,0.14369489611722636,2621.0,51,10
Congolese,994.0,0.12404713746106641,994.0,0,5
Contractz,10220.0,0.10438988074078484,1139.0,9081,46
CoreJJ,2039.0,0.017470634207413287,2004.0,35,60
Cospect,178.0,0.019471926485542586,174.0,4,5
Courage,6170.0,0.09076293902939592,656.0,5514,36
Coward,2085.0,0.11104375210943536,235.0,1850,11
CrAzY,1117.0,0.12847896505426665,631.0,486,5
Crack,2384.0,0.017633563214759486,2357.0,27,69
Cracker,18439.0,0.1320847355113278,17934.0,505,75
Crecre,349.0,0.01767941496886669,349.0,0,11
Crem,14447.0,0.1601171838033623,13984.0,463,47
Creme,35157.0,0.14145780468812946,34379.0,778,128
Crimson,9401.0,0.12749487646971008,9328.0,73,37
Cripple,3428.0,0.11248483640898083,3353.0,75,17
Crisp,4197.0,0.016751176334737584,4146.0,51,129
Cristonex,2048.0,0.12562450774775524,2015.0,33,9
Croac,748.0,0.11829687809345335,728.0,20,3
Croco,9442.0,0.1160093545417044,928.0,8514,42
Crow,346.0,0.015621061355768984,346.0,0,12
Crowdy,366.0,0.12215267550319098,366.0,0,2
Crownie,25607.0,0.16640373028343916,23726.0,1881,81
Cruse,1917.0,0.1370062447549561,1855.0,62,7
Cryogen,304.0,0.01835075942491231,304.0,0,8
Cryscata,110.0,0.020967491262425423,108.0,2,3
Cube,29185.0,0.13200653516458566,28818.0,367,116
Cuicuixi,14106.0,0.14627345560389,13675.0,431,52
Cuzz,18863.0,0.10993540414965332,2205.0,16658,90
Cyku,2246.0,0.1344251199791798,2226.0,20,10
Cypher,5201.0,0.14984943508610216,5036.0,165,18
Czajek,10896.0,0.14350619493755593,10515.0,381,37
Czekolad,26822.0,0.13997150089608948,26329.0,493,100
Czypsy,1992.0,0.01678635474302959,1964.0,28,60
D0kai,39.0,0.012589004353404189,39.0,0,2
D1verse,3514.0,0.130552451377727,3430.0,84,14
D4SH,2234.0,0.1008847406101042,209.0,2025,13
D4nKa,9460.0,0.10006175577715938,825.0,8635,50
D4rtaine,3173.0,0.12708680139764836,3138.0,35,13
DANKI,958.0,0.1248984019604646,956.0,2,4
DARKWINGS,12663.0,0.14521059689633323,12406.0,257,43
DCT JDD,1450.0,0.13839758367230837,1422.0,28,5
DD1,398.0,0.13111516989454822,40.0,358,2
DDahyuk,12407.0,0.13462676427965822,12048.0,359,46
DDicent,824.0,0.09563355113907115,121.0,703,5
DDoiV,18548.0,0.10772125194158934,2228.0,16320,90
DG Etude,3369.0,0.11144035812472983,3298.0,71,18
DG W1ng,2385.0,0.1395869946650516,2343.0,42,9
DG Wing,1967.0,0.1187088452576612,1948.0,19,10
DG applepasta,3899.0,0.11848781242903264,3842.0,57,19
DG hatinyang,3842.0,0.11723905951500313,2510.0,1332,19
DG kumuo,4009.0,0.13118973448156815,3923.0,86,18
DG socceryakyu,3664.0,0.12024676086334024,365.0,3299,18
DG suyahime,8114.0,0.1275989529028858,5929.0,2185,37
DG toraneko,1137.0,0.018872939845521117,1137.0,0,37
DICE,13426.0,0.14721264635369233,13195.0,231,53
DIV Barata,261.0,0.10336633663366336,28.0,233,1
DIV Chambel,47.0,0.02127659574468085,43.0,4,1
DIV Leitinho,287.0,0.12992304210049796,30.0,257,1
DIV MinetasJR,304.0,0.06790295326499604,304.0,0,2
DIV Pro Hanter,712.0,0.14892164816300552,666.0,46,2
DIV pdr,276.0,0.1093069306930693,268.0,8,1
DIV spoint,479.0,0.10224482203765872,475.0,4,2
DK Nevid,674.0,0.11424730049008094,670.0,4,4
DK Seonwoo,911.0,0.15309128355782586,879.0,32,4
DK Shadow,107.0,0.01816990946420559,103.0,4,4
DM SUISEI,2242.0,0.13746827352415364,143.0,2099,10
DM StarRanger,1243.0,0.13867758524644352,1211.0,32,5
DM history,9152.0,0.1331878707350155,8999.0,153,40
DM p1ng,6525.0,0.13996839796123095,6260.0,265,27
