playername,mean_kills,std_kills,mean_deaths,std_deaths,mean_damage,std_damage
Joao,2.8846153846153846,2.87509197177305,4.115384615384615,1.9864928507683697,13169.115384615385,6022.565143371538
Joekie,3.3461538461538463,2.9112513830627225,3.8846153846153846,1.8182832139559135,14748.461538461539,5876.587072311746
Joexy,0.5416666666666666,0.6580053301400783,4.833333333333333,1.632993161855452,6740.5,2307.8744785398644
Johnarnau,1.5,2.1213203435596424,5.0,1.4142135623730951,23079.0,13040.463258642309
Joinze,3.369565217391304,2.946626663772011,3.347826086956522,2.002414002085681,14843.695652173914,7330.333407210723
Jojopyun,2.7974683544303796,2.1084673424651683,2.8354430379746836,1.8634843277211772,21189.32911392405,5946.313477039237
JokerHan,3.75,2.8722813232690143,2.25,1.707825127659933,21906.5,6105.361714646125
Joki37,3.4375,3.0543684562715527,4.5,2.7325202042558927,16194.5,6884.2799865587485
Jool,3.9411764705882355,2.911030760365873,2.838235294117647,1.9970896295826284,21806.485294117647,8487.018277262425
Jopa,4.4363636363636365,3.230431896154171,2.7636363636363637,1.9903809086745587,28880.52727272727,14476.520910124762
Jordan,0.5,0.7071067811865476,4.0,4.242640687119285,3186.5,754.4829355260462
Josedeodo,2.9347826086956523,2.6866102054699463,2.347826086956522,1.7915529117915532,13069.239130434782,6799.278599592698
Josifek04,4.2894736842105265,4.2292922846521845,4.2631578947368425,2.32127889408515,14811.0,9403.70161734772
Jovian,0.5,0.7071067811865476,6.0,4.242640687119285,4808.5,1844.8415921157025
JuanDeDios,2.8,3.271085446759225,3.2,1.3038404810405297,21616.0,4642.789032467445
Juhan,3.5444444444444443,2.1366839324560805,2.966666666666667,1.9571246967558524,16094.777777777777,5676.23066055813
Juliera,3.5555555555555554,3.4681086744474685,2.0,1.5811388300841898,20942.555555555555,10173.382280627116
Julzh,2.0,,6.0,,11584.0,
Jun,0.7142857142857143,0.7637626158259733,2.9591836734693877,1.7907073052459535,7266.428571428572,3778.5150246712883
JunJia,3.1789473684210527,2.269028039024926,2.1052631578947367,1.8706790450490607,13933.2,5778.615220260802
Jungoat,2.8181818181818183,1.8340219092574555,3.4545454545454546,2.06705763652765,11881.818181818182,3743.5907580338376
Junhao,3.1774193548387095,2.472963268925626,2.6129032258064515,1.7957585612084266,13964.612903225807,6989.514909303202
JustFocus,1.125,1.3562026818605373,3.625,2.9246489410818914,7723.5,3099.3462444291604
Juzu,3.3714285714285714,3.0590820834487773,3.057142857142857,1.731080199026661,21123.285714285714,10093.150614537122
Jwei,0.5959595959595959,0.8561803157307071,4.111111111111111,1.9633836312465054,6064.80808080808,2698.2701551434984
Jwic,3.2,2.0493901531919194,4.6,3.5777087639996634,10598.0,1500.8610861768652
K0G0LA,1.8,1.3038404810405297,5.2,1.3038404810405297,11857.8,5866.225634937681
K1ng,5.090909090909091,4.011347540529129,4.2727272727272725,1.7372915179041826,27082.0,13300.531199918294
KCH Jericho,4.0,1.4142135623730951,2.5,2.1213203435596424,20884.5,2533.5635969913997
KCH jericho,2.111111111111111,2.2047927592204917,2.5555555555555554,1.6666666666666667,20472.88888888889,7859.934421552835
KDavid02,3.6,3.2093613071762426,3.8,1.4832396974191326,17026.4,10053.548095075688
KGA Darky,0.5,0.7071067811865476,4.5,0.7071067811865476,10619.0,1902.1172413918127
KGA Senor,1.0,1.4142135623730951,5.0,0.0,10535.5,8918.737831105924
KGA Slimsnoker,2.0,0.0,2.0,1.4142135623730951,16966.0,2211.830011551521
KJ Yikesuo,4.0,4.0,3.3333333333333335,2.0816659994661326,27965.666666666668,2998.9275305237597
KKT,2.3714285714285714,1.9263759679117418,3.6857142857142855,1.9669538792318466,12454.942857142858,5673.149565861864
KNEZA,3.8285714285714287,3.6013536203988163,3.6,2.2906459402381265,19246.514285714286,8536.864537960984
KOUBEE,3.18,2.7081886408235514,3.2,1.52529689314733,21548.5,9833.718824970107
KSAEZ,4.083333333333333,2.685171303201386,2.4583333333333335,1.5316704909195133,22705.25,9875.411556641247
KT A Cid,3.5,2.886751345948129,6.5,2.3804761428476167,23206.75,6862.823975352032
KT A FenRir,5.5,3.449637662132068,4.833333333333333,2.857738033247041,26811.166666666668,13377.380392538245
KT A Pleasure,0.25,0.5,6.25,2.217355782608345,7532.75,790.3848746022409
KT A Ripple,6.25,0.9574271077563381,4.25,2.0615528128088303,30790.5,12156.640613261543
KT A Soft,4.4,4.929503017546495,4.4,1.949358868961793,16959.6,6812.305872463448
Ka1ser,3.4791666666666665,2.466710992509535,4.645833333333333,2.572270983816518,22030.208333333332,8167.664579246505
Kaba,5.818181818181818,5.325752187591568,5.2727272727272725,1.4893561757289016,28463.272727272728,13931.199202444197
Kaboom,4.3478260869565215,2.72377905345052,4.0,2.2563042992710645,18100.695652173912,7621.35063450509
Kackos,1.8,1.9346465162548798,3.4,2.898275349237888,16869.866666666665,7559.6677068569115
Kael,0.7083333333333334,0.9451754563871426,3.4027777777777777,2.0357622391448107,7222.736111111111,2952.693912762224
Kaido,3.1176470588235294,2.642970699354622,3.588235294117647,2.181135699853742,12891.882352941177,5050.179166157783
Kaii,7.5,4.450583367120799,3.5714285714285716,2.027286390693261,35870.0,18617.046861576997
Kaiser,0.85,0.9691442133806063,3.0875,1.9499675427353962,7031.4,2544.6514749792213
Kaiwing,0.6842105263157895,0.970447998044869,2.3263157894736843,1.7711764647908155,5496.378947368421,2255.2197570843427
Kakarot,3.25,3.4034296427770228,4.5,1.7320508075688772,12252.25,3017.5831802951184
Kakkun,2.5945945945945947,2.1532850802057393,3.918918918918919,2.190616077453737,20207.432432432433,6318.460319398057
KalenBoss,3.6842105263157894,3.0194302549202034,3.3157894736842106,1.6347827439397082,15085.0,6288.414435381235
Kamiloo,2.840909090909091,2.542139565983482,3.75,2.0474033469534723,22575.136363636364,9130.490808252158
Kamon,4.333333333333333,4.163331998932265,7.0,2.6457513110645907,22727.0,13438.010678668179
Kamyta,1.0,,2.0,,4720.0,
Kanavi,4.140625,2.816527081913044,3.328125,2.2487419930221213,17063.6015625,6732.443654751742
Kancolf,0.8,1.0954451150103321,3.8,0.8366600265340756,6114.6,1654.1717867259133
Kandar,0.0,,6.0,,4614.0,
Kangin,2.611764705882353,2.0649807888363765,3.541176470588235,2.141166466563264,20261.835294117645,7346.562948959548
Kania,3.8974358974358974,2.447284981091794,3.9743589743589745,2.3111534997323817,15936.076923076924,7169.060036693556
